File,RelFile,Line,Column_1,Column_2,Identifier,Message
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Clear_Parallel_Cache.m,Clear_Parallel_Cache.m,2,7,9,CLALL,"Using 'clear' with the 'all' option usually decreases code performance and is often unnecessary."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Clear_Parallel_Cache.m,Clear_Parallel_Cache.m,3,7,15,CLFUNC,"Using 'clear' with the 'functions' option usually decreases code performance and is often unnecessary."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Clear_Parallel_Cache.m,Clear_Parallel_Cache.m,4,7,13,CLCLS,"Using 'clear' with the 'classes' option will decrease code performance and is often unnecessary."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,313,20,45,DEFNU,"Function might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,404,1,13,NASGU,"Value assigned to variable might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,626,48,54,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,650,9,20,AGROW,"Variable appears to change size on every loop iteration. Consider preallocating for speed."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,662,9,20,AGROW,"Variable appears to change size on every loop iteration. Consider preallocating for speed."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,686,1,13,NASGU,"Value assigned to variable might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,938,1,8,NASGU,"Value assigned to variable might be unused."
