time,pos_lowerbackrx,pos_upperbackrx,pos_rtibiarx,pos_ltibiarx,pos_rfemurrx,pos_lfemurrx,pos_rfootrx,pos_lfootrx,pos_rhumerusrx,pos_lhumerusrx,pos_rhumerusrz,pos_lhumerusrz,pos_rhumerusry,pos_lhumerusry,pos_rradiusrx,pos_lradiusrx,force_headrx,force_headry,force_headrz,force_lclaviclery,force_lclaviclerz,force_lfemurrx,force_lfemurry,force_lfemurrz,force_lfingersrx,force_lfootrx,force_lfootrz,force_lhandrx,force_lhandrz,force_lhumerusrx,force_lhumerusry,force_lhumerusrz,force_lowerbackrx,force_lowerbackry,force_lowerbackrz,force_lowerneckrx,force_lowerneckry,force_lowerneckrz,force_lradiusrx,force_lthumbrx,force_lthumbrz,force_ltibiarx,force_ltoesrx,force_lwristry,force_rclaviclery,force_rclaviclerz,force_rfemurrx,force_rfemurry,force_rfemurrz,force_rfingersrx,force_rfootrx,force_rfootrz,force_rhandrx,force_rhandrz,force_rhumerusrx,force_rhumerusry,force_rhumerusrz,force_rradiusrx,force_rthumbrx,force_rthumbrz,force_rtibiarx,force_rtoesrx,force_rwristry,force_thoraxrx,force_thoraxry,force_thoraxrz,force_upperbackrx,force_upperbackry,force_upperbackrz,force_upperneckrx,force_upperneckry,force_upperneckrz
0.002,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,0.33385923956496294,0.0,0.0,0.0,-0.2140888842572631,0.0,0.0,0.0,-0.07582431175748183,-0.005488791288041552,0.025879621039566814,0.8117060926653198,0.0,0.0,0.0,0.0,0.0,0.06329836769304356,0.0,0.0,0.06519615190724896,0.0,0.0,0.0,0.0,0.3340085444661247,0.0,0.0,0.0,-0.21405839993520448,0.0,0.0,0.0,-0.07852281865036881,0.04974147737937075,-0.027635966974455098,0.06072583839679653,0.0,0.0,0.06510566766052028,0.0,0.0,0.0,0.0,0.0,-0.2169488564039946,0.0,0.0,0.0,0.0,0.0
0.006,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7942246311697543,0.29055897114971946,-0.049061155261361296,-1.0,0.0,0.0,0.0,0.0,0.0,-0.7148051777010667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7613289416472347,-0.8101688096066371,0.13711871074850449,-0.7048187856633678,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.008,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-0.13557823332263055,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0.01,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-0.6210311611827877,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.012,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0.014,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.016,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0.018000000000000002,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.020000000000000004,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
